Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
National TOMs Framework,NT1 - No. of full time equivalent direct local employees (FTE) hired or retained    Global for the duration of the contract (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT1 - No. of full time equivalent direct local employees (FTE) hired or retained Global for the duration of the contract (Yorkshire & Humber specific) (2022),people,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
Framework,access for at least 12 months to               Glo comprehensive and multidimensional wellbeing programmes (2022),ovided cess,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Supporting source family,4,
National TOMs Framework,"NT21 - Equality, diversity and inclusion training provided both for staff and           Glo supply chain staff (2022)",. hrs (total ssion ration)*no. tendees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT22 - Percentage of your procurement contracts that include commitments to ethical employment practices in the local and global supply chain, including verification that there is zero tolerance Glo of modern slavery, child labour and other relevant requirements such as elimination of false self-employment, unfair zero hours contracts and blacklists (2022)",(Non nancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT23 - Percentage of contracts with the supply chain on which Social Value Glo commitments, measurement and monitoring are required (2022)",(Non nancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT24 - Initiatives aimed at reducing crime (e.g. support for local youth Glo groups, lighting for public spaces, etc.) (2022)",invested cluding staff me,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT25 - Initiatives to be taken to tackle homelessness (supporting temporary             Glo housing schemes, etc.) (2022)",invested cluding staff me,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT26 - Initiatives taken or supported to engage people in health interventions (e.g. stop smoking, obesity, alcoholism, Glo drugs, etc.) or wellbeing initiatives in the community, including physical activities for adults and children (2022)",invested cluding staff me,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs /app.socialvalueengine.co.uk/proxies - Social Value Engine,"NT27 - Initiatives to be taken to support older, disabled and vulnerable people to build stronger community networks (e.g.        Glo","invested cluding staff Page 46 of 103 8/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT28 - Donations and/or in-kind contributions to specific local Global community projects (£ & materials) (2021),ue,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT29a - No. of hours volunteering time provided to support health-care related     Global charity and community projects (2022),taff teering,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT29b - No. of hours volunteering time provided to support local community Global projects addressing the effects of COVID-19 (2022),taff teering,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT29 - No. of hours volunteering time provided to support local community         Global projects (2022,taff teering,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT2a                                        Global,r of e (FTE) on act,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT2 Percentage of full time equivalent local employees (FTE) on contract - Global employed directly or through supply chain (2022),n cial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT30 - Support provided to help local community draw up their own Global Community Charter or Stakeholder Plan (2022),ested ding staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,"NT31a - Savings in Scope 3 CO2e emissions on contract achieved through de-carbonisation (i.e. a reduction of the carbon intensity of processes and           Global operations, specify how these are to be achieved) against a specific benchmark. (2022)","s CO2 age 47 of 103 8/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT31 - Savings in CO2e emissions on contract achieved through de- carbonisation (i.e. a reduction of the carbon intensity of processes and Global operations, specify how these are to be achieved) against a specific benchmark. (2022)",s CO2e,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT32 - Car miles saved on the project as a result of a green transport programme or equivalent (e.g. cycle to      Global work programmes, public transport or car pooling programmes, etc.) (2022)",saved,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT33 - Car miles driven using low or no emission staff vehicles included on Global project as a result of a green transport programme (2022),driven,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT35 - Percentage of procurement contracts that include sustainable procurement commitments or other relevant requirements and certifications    Global (e.g. to use local produce, reduce food waste, and keep resources in circulation longer.) (2022)",contracts financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT39 - Mental Health campaigns for staff on the contract to create Global community of acceptance, remove stigma around mental health (2022)",ested ding staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT3a - No. of full time equivalent local armed forces veteran employees (FTE) hired or retained on the contract who are long-term unemployed (unemployed for a year or longer) and       Global facing specific barriers to transitioning to civilian employment that do not qualify them as disabled (e.g. long-term service) (2022),eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT3b - No. of full time equivalent local homeless employees (FTE) hired on the       Global contract who are long-term unemployed (2022),eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT3c - No. of full time equivalent local mothers returning to work (FTE) hired on the contract who are long-term Global unemployed (unemployed for a year or longer) - (when the mother is the primary carer) (2022),eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT3d - No. of full time equivalent local employees (FTE) hired on the contract Global that are survivors of modern slavery (2022),eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT3 - No. of full time equivalent local employees (FTE) hired or retained on the contract who are long-term              Global unemployed (unemployed for a year or longer) (2022),eople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT40 - Number and type of initiatives to be put in place to reduce the gender pay gap for staff employed in relation to   Global the contract (describe and document initiatives) (2022),ested ding staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT41 - Percentage of staff on contract that is paid at least the relevant Real Global Living wage as specified by Living Wage foundation (2022),n cial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT42 - Percentage of contractors in the supply chain required (or supported if Global they are micro or small business) to pay at least Real Living wage (2022),n cial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs /app.socialvalueengine.co.uk/proxies - Social Value Engine,"NT43 - Initiatives taken throughout the local and global supply chain to strengthen the identification, monitoring and reduction of risks of modern slavery and unethical work practices occurring      Global","ested ding staff age 49 of 103 20/08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT44a Commitment to carbon emissions savings to achieve net zero        Globa carbon before 2030 (2022),(Non ncial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT44 - Commitment to carbon emissions savings to achieve net zero        Globa carbon before 2050 (2022),Net zero re or by (Non ncial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT45 - Carbon Certification (independently verified) achieved or         Globa about to achieve (2022),- Provide vant ments financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT46 - Corporate travel schemes available to employees on the contract (subsidised public transport, subsidised cycling schemes and storage,                 Globa sustainable corporate transport such as electric bus from public station to corporate facilities) (2022)",- Provide ription financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT47 - Donations or investments towards expert designed sustainable Globa reforestation or afforestation initiatives (2022),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT48 - Supply Chain Carbon Certification (Carbon Trust Standard for Supply Chain or equivalent                   Globa independently verified) - achieved or to achieve for current year (2022),- Provide ification financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,"NT49 - Requirements or support (for micro or small enterprises) for suppliers to demonstrate climate change and carbon reduction training for all staff -    Globa e.g. SDGs Academy courses, Supply","hrs (total ion tion)*no. ndees Page 50 of 103 /2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT4a - No. of full time equivalent local 16-25 y.o. care leavers (FTE) hired on     Global the contract (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT4 - No. of full time equivalent local employees (FTE) hired on the contract Global who are NOT in Employment, Education, or Training (NEETs)",ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT50 - Innovative measures to promote local skills and employment to be delivered on the contract - these could be e.g. co-designed with stakeholders      Global or communities, or aiming at delivering benefits while minimising carbon footprint from initiatives, etc. (2022)","sted - ing staff teering at per expert alued at 0 per and als, ent or ces",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT51 - Innovative measures to promote and support responsible business to be delivered on the contract - these could be e.g. co-designed with stakeholders      Global or communities, or aiming at delivering benefits while minimising carbon footprint from initiatives, etc. (2022)","sted - ing staff teering at per expert alued at 0 per and als, ent or ces",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT52 - Innovative measures to enable healthier, safer and more resilient communities to be delivered on the contract - these could be e.g. co- designed with stakeholders or              Global communities, or aiming at delivering benefits while minimising carbon footprint from initiatives, etc. (2022)","teering at per expert alued at 0 per and als, ent or ces",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT53 - Innovative measures to safeguard the environment and respond to the climate emergency to be delivered on the contract - these could Global be e.g. co-designed with stakeholders or communities, or aiming at delivering benefits while minimising carbon footprint from initiatives, etc. (2022)","sted - ing staff teering at per expert alued at 0 per and als, ent or ces",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT54 - Support a ‘just transition’ for workers by supporting those in Global ‘traditional’ high carbon industries to retrain (2022),s (total n on)*no. ees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT55 - No. of employees provided with professional support for anxiety and depression (at least six sessions of Cognitive Behavioural Therapy (CBT) or     Global equivalent) following a workplace screening (through a questionnaire or other diagnostic methods) (2022),ployees ed,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"mental health core standards (applicable for all companies) and the mental health enhanced standards           Global (applicable for companies with more than 500 employees), as set out in Thriving at Work: the Stevenson Farmer Review on Mental Health and Employers (2022)",ial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT57 - Prime contractor's median gender salary pay gap for staff - Small    Global and Medium enterprises (2022),an pay on ial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT58 - No. of full time equivalent local employees (FTE) on contract to have Global pay raise to Real living wage or higher (on a renewed contract or TUPE) (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,"NT59 - Number of comprehensive supply chain audits to be undertaken to identify, monitor and reduce the risk of   Global modern slavery occurring in relation to the contract (2022)",dits inancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT5a - No. of full time equivalent local employees (FTE) aged 18-24 y.o. hired Global on the contract who are rehabilitating or ex-offenders (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,4,
National TOMs Framework,NT5 - No. of full time equivalent local employees (FTE) aged 18+ years hired Global on the contract who are rehabilitating or ex-offenders. (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT60 - No. of full time equivalent employees (FTE) in the supply chain with specific responsibility to identify Global and manage the risk of modern slavery occurring in relation to the contract (2022),ople FTE inancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,NT61 - Percentage of invoices on the Global contract paid within 30 days (2022),"ial) ge 53 of 103 20/08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT62 - Number and percent of companies in the supply chain, to Tier 2, that achieve relevant cyber security certifications (e.g. Cyber Globa Essentials, Cyber Essentials Plus or National Cyber Security Centre’s 10 steps) (2022)",ide ription financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT63 - Initiatives to support rough sleepers - including training for security and night staff, opening up facilities Globa spaces (e.g. showers or additional beds when temperature drops) after hours (2022)",vested uding staff,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT64 Contributions made to certified carbon offset funds (compliant with          Globa UKGBC guidance) (2022),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT65 - Percentage of fleet or construction vehicles on the contract        Globa that is at Least Euro 6 or LEV (2022),on ncial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT66 - Fleet emissions monitoring programme on the contract, including Globa data collection (miles, type of vehicle, engine type, emission standard) (2022)",- Provide ription financial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT67 - Donations or investments towards initiatives aimed at environmental and biodiversity Globa conservations and sustainable management projects for both marine and terrestrial ecosystems (2022),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT68 - Plastic recycling rate on the contract (to e.g. reduce microplastics)      Globa (2022),on ncial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs /app.socialvalueengine.co.uk/proxies - Social Value Engine,NT69 - Support provided internally and to MSMEs and VCSEs within the supply chain to adopt Circular Economy              Globa,"staff Page 54 of 103 /08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT6a - No. of full time equivalent local armed forces veteran employees (FTE) hired or retained on the contract who are disabled and are facing specific Global barriers to transitioning to civilian employment (e.g. physical injury, medical discharge, psychological condition) (2022)",ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT6 - No. of full time equivalent disabled local employees (FTE) hired or    Global retained on the contract (2022),ople FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT70 - Single-use plastic packaging eliminated through reusable packaging Global solutions or schemes (e.g. Loop or equivalent) on the contract (2022),(Non ial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT71 - Value of service provided by local partnerships that implement          Global circular economy solutions (2022),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT7 (2021)                                 Global,s (total n on)*no. ees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT72 - Hard to recycle waste diverted from landfill or incineration through Global specific recycling partnerships (e.g. Terracycle or equivalent) (2022),,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT73 - Percentage of contracts with the supply chain requiring contractors to Global operate low or zero emission vehicles (2022),ontracts inancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs /app.socialvalueengine.co.uk/proxies - Social Value Engine,NT74 - Union recognition agreements (or equivalent worker representation) and collective bargaining are present      Global,"on Page 55 of 103 /08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT75 - Good and fair work charters and related employment practices are implemented and facilitated on                Glob contract (2022),- Non ancial,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT76 - No. of full time equivalent local employees (FTE) hired on the contract Glob who are registered as unemployed (2022),people FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT78 - Percentage of leadership positions (manager or above (Level 4))        Glob on the contract filled by women (2022),Non ancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT79 - Percentage of leadership positions (manager or above - (Level4)) Glob on the contract held by people from Ethnic Minority Groups (2022),Non ancial),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT80 - No. of weeks of employee (FTE) upskilling (i.e. training opportunities and comprehensive upskilling programmes) specifically delivered on the contract e.g. (BTEC, City & Guilds, NVQ, HNC,          Glob RQF). Must have either been completed during the year, or will be supported by the organisation until completion in the following years - Level 2,3, or 4+ (2022)",weeks of ining per son,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT81 - No. of weeks of employee upskilling (FTE) delivered on contract as part of apprenticeships and comprehensive upskilling programmes - Only applies to apprenticeships on the Glob contract that have either been completed during the year, or that will be supported by the organisation until completion in the following years - Level 2,3, or 4+ (2022)",weeks of ining per son,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT82 - Carbon emissions reductions through reduced energy use and energy        Globa efficiency measures - on site (2022),es CO2e,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT83 - Commitment to measure and disclose Scope 1, 2 and 3 carbon             Globa emissions (2022)","itment easure e 1, 2 and issions financial)",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT84 - Freight miles saved as a result of a green logistics plan (e.g. reduced trips   Globa to site) (2022),s saved,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT85 - Resources (on the contract) dedicated to creating green spaces, Globa improving biodiversity or helping ecosystems. (2022)",vested,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT86 - Volunteering time for environmental conservation & Globa sustainable ecosystem management initiatives (2022),staff nteering s,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT87 - Total volume of reduced plastics Globa against a relevant benchmark (2022),s,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,NT88 - Reduce waste through reuse of Globa products and materials(2022),es,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT8 - No. of staff hours spent on local school and college visits suporting pupils e.g. delivering career talks, Globa curriculum support, literacy support, safety talks (including preparation time) (2022)",staff hours,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT90 - Activities to influence staff, suppliers, customers and communities Globa to support environmental protection and improvement. (2022)",staff rt hours,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT9a - No. of weeks of training opportunities (BTEC, City & Guilds, NVQ, HNC - Level 2,3, or 4+) on the contract that have either been completed during the year, or that will be supported by the organisation until completion in the      Glob following years - delivered for specified groups (e.g. NEETs, under-represented gender and ethnic groups, disabled, homeless, rehabilitating young offenders) (2022)",of weeks training per son,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"NT9 - No. of weeks of training opportunities (BTEC, City & Guilds, NVQ, HNC - Level 2,3, or 4+) on the contract that have either been completed during        Glob the year, or that will be supported by the organisation until completion in the following years (2022)",of weeks training per son,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.10 – Time volunteered by Health Champions (or other volunteering              Glob initiatives),hour,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.11 – Investment in promoting Health Champions (or other volunteers) in your       Glob workforce,nvested cl. staff e),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.12 – Initiatives that promote Glob positive parenting for target groups,nvested cl. staff e),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.13 – Initiatives that raise awareness of service users’ rights to personal          Glob entitlements,nvested cl. staff e),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 1.14 – Talks in schools/community on substance misuse, healthy eating, Glob sexual health and physical wellbeing (by health professionals)",hour unteered,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework /app.socialvalueengine.co.uk/proxies - Social Value Engine,Ref 1.15 – Demonstration of ACE-aware / trauma-informed approach for service          Glob,"t (upload cription) Page 58 of 103 /08/2026, 17:30",,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,Ref 1.16 – Time volunteered to engage community groups (talks/info/practical       Globa health awareness),hour nteered,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 1.17 – Time volunteered for wider determinants (e.g., debt or fuel-poverty     Globa advice)",hour nteered,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 1.1 – Initiatives to promote independent living (e.g., money advice, Globa befriending, healthy lifestyles, digital inclusion)",vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
National TOMs Framework,"Ref 1.2 – Initiatives that tackle homelessness (supporting temporary           Globa housing schemes, etc.)",vested l. staff ),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure framework,5,
