Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Evidence Note,Source Status,
SCC - System level (Optional),Cost of a crime - to services/economy/social wellbeing,Per incident,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level (Optional),Cost of caring for mild dementia,£ per person per year,28700,https://www.alzheimers.org.uk/what-we-do/policy-and-influencing/economic-impact-of-dementia,Direct,Alzheimer's Society/Carnall Farrar gives UK annual per-person costs by dementia severity.,UK source researched,
SCC - System level (Optional),Cost of caring for moderate dementia,£ per person per year,42900,https://www.alzheimers.org.uk/what-we-do/policy-and-influencing/economic-impact-of-dementia,Direct,Alzheimer's Society/Carnall Farrar gives UK annual per-person costs by dementia severity.,UK source researched,
SCC - System level (Optional),Cost of caring for severe dementia,£ per person per year,80500,https://www.alzheimers.org.uk/what-we-do/policy-and-influencing/economic-impact-of-dementia,Direct,Alzheimer's Society/Carnall Farrar gives UK annual per-person costs by dementia severity.,UK source researched,
SCC - System level (Optional),Hard to recycle waste diverted from landfill or incineration through specific recycling partnerships,tonnes,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System level (Optional),Improved housing per hazard,Per hazard,2900,https://measure-up.org/values/,,,Original evidence link,
SCC - System level (Optional),Car miles saved on the project as a result of a green transport programme or equivalent,miles,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System level (Optional),Feeling part of local area,Per Person per year,4200,https://measure-up.org/values/,,,Original evidence link,
SCC - System Level (Optional),"Equality, diversity and inclusion training provided both for staff and supply chain staff",Per hour x attendees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Meaningful work placements that pay Minimum or National Living wage according to eligibility - 6 weeks or more (internships),Number of weeks (6 weeks or more - Internships),,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),No. of full time equivalent 16-25 year old care leavers (FTE) hired on the contract,People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),No. of full time equivalent employees (FTE) aged 18+ years hired on the contract who are rehabilitating or ex-offenders,People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),No. of full time equivalent employees (FTE) hired on the contract that are survivors of modern slavery,People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"No. of full time equivalent employees (FTE) hired on the contract who are NOT in Employment, Education, or Training (NEETs)",People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),No. of full time equivalent employees (FTE) hired on the contract who are registered as unemployed,People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Number of hours volunteering time provided to support local community projects,Number of staff volunteering hours,16.93,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"Number of staff hours of 'support into work' assistance provided to unemployed people through career mentoring, including mock interviews, CV advice, and careers guidance",Number of hours (total session) x attendees,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"Number of staff hours spent on local school and college visits supporting pupils e.g. delivering career talks, curriculum support, literacy support, safety talks (including preparation time)",Staff hours,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Number of voluntary hours donated to support VCSEs (excludes expert business advice),Staff volunteering hours,16.93 per staff volunteering hour,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"Number of weeks of apprenticeships or T-Levels (Level 2,3, or 4) provided on the contract - delivered for specified groups",Number of weeks,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"Number of weeks of training opportunities (BTEC, City & Guilds, NVQ, HNC - Level 2,3, or 4+) - delivered for specified groups",Per Week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),"Number of weeks of training opportunities (BTEC, City & Guilds, NVQ, HNC - Level 2,3, or 4+) on the contract",Number of weeks,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Number of weeks spent on meaningful work placements or pre-employment course; 1-6 weeks student placements (unpaid),Per Week,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Provision of expert business advice to VCSEs and MSMEs (e.g. financial advice / legal advice / HR advice/HSE),Expert hours,101 per expert staff hour,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Reduce waste through reuse of products and materials,Tonnes,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Total amount (£) spent plus added value with VCSEs within your supply chain,£,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Total volume of reduced (virgin) plastics against a relevant benchmark,KGs avoided,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Volunteering 8 hours per month,Per Person,3400,https://measure-up.org/values/,,,Original evidence link,
SCC - System Level (Optional),Volunteering - staff time for environmental conservation & sustainable ecosystem management initiatives,Number of staff volunteering hours,16.93 per staff volunteering hour,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
Skills development / Training,Average hourly value of training/skills development time (opportunity cost),Per hour per person,,https://assets.publishing.service.gov.uk/media/69205d2db303fcb3352e5347/Employer_skills_survey_2024_full_UK_research_report.pdf,Direct benchmark / unit mismatch,"UK Employer Skills Survey 2024 reports training investment of about £1,700 per employee; it does not provide a universal hourly value.",UK source researched,
Transport / Congestion reduction,Value of travel time savings (proxy for reduced congestion exposure),Per vehicle-hour saved,,https://www.gov.uk/government/publications/tag-data-book,Direct appraisal source,DfT TAG Data Book is the current UK appraisal source for values of travel time; the applicable value depends on journey purpose and vehicle type.,UK source researched,
Climate Change Mitigation,UK government carbon value (central estimate),per tonne of CO₂e reduced,264,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct,DESNZ Green Book supplementary guidance provides central £/tCO2e carbon values for policy appraisal.,UK source researched,
Community Asset Utilisation,Market Value of Community Space Hire (Public Sector Rate),per hour of use (per group/session),40,https://surreyca.org.uk/business-services/meeting-room-hire/,Direct local benchmark,Surrey Community Action publishes current room-hire rates: £40/hour standard and £20/hour voluntary-sector.,UK source researched,
Community cohesion,Sense of belonging to neighbourhood,Per person per year,4200,https://measure-up.org/values/,,,Original evidence link,
Community Safety / Criminal Justice (FOR REVIEW - SCC),Avoided Cost of Reoffending (Per Person),Per person per year,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
Criminal Justice System Efficiency (FOR REVIEW - SCC),Cost of probation supervision per offender (annual),per offender per year,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
Energy savings,Energy demand for pool water heating,per m³ of water heated,,https://etl.energysecurity.gov.uk/products/solar-thermal-systems-collectors/solar-thermal-collectors-1,Supporting,"DESNZ Energy Technology List identifies leisure centres/swimming pools as high hot-water-demand settings where solar thermal can reduce heat demand, energy use and cost.",UK source researched,
Improved Accessibility,Cost of Installing a Wheelchair Access Ramp (Capital Proxy for Improved Access),Per installation (can be apportioned per beneficiary),500-1000,https://www.gov.uk/government/publications/uk-resettlement-programmes-funding-instruction-2024-to-2025/funding-instruction-for-local-authorities-in-the-support-of-the-united-kingdoms-resettlement-schemes-2024-to-2025-accessible,Direct benchmark,"UK government resettlement funding guidance gives an estimated ramp adaptation cost of £500–£1,000.",UK source researched,
Improved child wellbeing and physical activity,Wellbeing value of physical activity for children,Per child per year,4300 (age 11-16); 3100 (age 7-11),https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct,Sport England's Treasury-aligned WELLBY work provides annual wellbeing values for active adults and children.,UK source researched,
Improved community health and participation,"Social value of participating in sport and physical activity (per person, per year)",per person per year,2600,https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct,Sport England's Treasury-aligned WELLBY work provides annual wellbeing values for active adults and children.,UK source researched,
Improved community health and wellbeing,Annual wellbeing value of being physically active (adult),Per person per year,2600,https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct,Sport England's Treasury-aligned WELLBY work provides annual wellbeing values for active adults and children.,UK source researched,
Improved community health and wellbeing,Wellbeing value of being physically active,Per person per year,2600,https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct,Sport England's Treasury-aligned WELLBY work provides annual wellbeing values for active adults and children.,UK source researched,
Nutrition and Health,Cost of achieving a healthy diet (Eatwell Guide benchmark),Per person per day,9.00,https://foodfoundation.org.uk/sites/default/files/2025-01/2.%20Technical%20report%20BP%202025.pdf,Direct,Food Foundation's UK technical report estimates the Eatwell Guide diet at £9.00 per adult per day in 2024 prices.,UK source researched,
SCC - At an Individual Level (Mandatory),Improved Physical Health (Tackling Health Inequalities: Physically Healthy incl. living independently),Per Person,15300,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual Level (Mandatory),Improved sense of control over life (Empowered and Thriving Communities: Prevention and early intervention - greater control over their own and their communities' health),Per person moving from below 5 to above 5 on a 7 point agree/disagree scale,,https://www.stateoflife.org/wellby,,,Original evidence link,
SCC - At an Individual Level (Mandatory),Improved Life Satisfaction (Empowered and Thriving Communities: Prevention and early intervention – greater control over their own and their communities' health),Per Person,14170,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - At an Individual Level (Mandatory),"Improved Mental Health (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation.)",Per Person,30700,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual level (Optional),Access to Green Space (Tackling Health Inequalities: Reaching potential incl wider determinants of health and community-led action),Per Person,,https://www.stateoflife.org/wellby,,,Original evidence link,
SCC - At an Individual level (Optional),"Being able to access advice locally (Empowered and Thriving Communities: Accessibility and inclusion – information, support and services for informed choices)",Per Person,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Supporting/financial,Citizens Advice reports quantified client financial outcomes and a Treasury-approved value-to-society model for advice.,UK source researched,
SCC - At an Individual level (Optional),Being on an apprenticeship/wages (Growing a sustainable economy: Ensuring residents support the workforce and skills demand of businesses),Per Person,,https://www.gov.uk/become-apprentice/pay-and-conditions,Direct statutory benchmark,GOV.UK sets the current statutory apprentice minimum wage; rates depend on age and year of apprenticeship.,UK source researched,
SCC - At an Individual level (Optional),"Improved Confidence - young person (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation)",Per Person (YP),26000,https://www.stateoflife.org/wellby,,,Original evidence link,
SCC - At an Individual level (Optional),More frequent physical activity (Tackling Health Inequalities: Physically healthy inc. living independently),Per Person per year as per government guidelines 150 mins per week,2600,https://www.sportengland.org/news-and-inspiration/health-wealth-and-happiness-ps123bn-value-activity,Direct,Sport England's Treasury-aligned WELLBY work provides annual wellbeing values for active adults and children.,UK source researched,
SCC - At an Individual level (Optional),Reduction in Anti-Social Behaviour (Tackling Health Inequalities: Safe/protected from health risks),Per ASB incident,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - At an Individual level (Optional),"Improved Confidence - Adult (Tackling Health Inequalities: Mental and emotional wellness incl. early help, supporting parents, reducing isolation)",Per Person,15300,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual level (Optional),Being able to make ends meet (Tackling Health Inequalities: Reaching potential incl wider determinants and community-led action),Per Person,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Supporting/financial,"Citizens Advice reports average additional annual income identified and debt written off for people helped, relevant to financial resilience.",UK source researched,
SCC - At an Individual level (Optional),"Being active in a social group (Tackling Health Inequalities: Mental and emotional wellness incl early help, support for parents and social isolation)",Per Person,,https://www.gov.uk/government/statistics/community-life-survey-202425-annual-publication,Direct outcome evidence,"DCMS Community Life Survey measures community cohesion, belonging, volunteering and people from different backgrounds getting on well together.",UK source researched,
SCC - At an Individual level (Optional),"Feeling Part of a Local Area (Empowered and Thriving Communities: Community cohesion and place shaping – residents feel connected, support others and set/deliver local priorities)",Per Person per year,4200,https://measure-up.org/values/,,,Original evidence link,
SCC - At an Individual level (Optional),Reduction in local Anti-Social Behaviour (Tackling Health Inequalities: Safe/free from health risks),Per Person per year,1628,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Community Level,"Increased Community Integration (Empowered and Thriving Communities: Community cohesion and place shaping – residents feel connected, support others and set/deliver local priorities)",Per person moving to 'strongly agree',,https://www.gov.uk/government/statistics/community-life-survey-202425-annual-publication,Direct outcome evidence,"DCMS Community Life Survey measures community cohesion, belonging, volunteering and people from different backgrounds getting on well together.",UK source researched,
SCC - Service Level (Optional),Having an apprentice (employer) (Growing a Sustainable Economy: Ensuring residents support the workforce and skills demand of businesses),Per apprentice,2500-18000,https://www.apprenticeships.gov.uk/employers/understanding-apprenticeship-benefits-and-funding,Direct financial benchmark,"Apprenticeships.gov.uk states an estimated yearly employer gain of £2,500–£18,000 per apprentice during training.",UK source researched,
SCC - Service Level (Optional),Volunteering (8 hours per month) (Tackling Health Inequalities: Reaching potential incl. the wider determinants of health and community-led action),Per Person,3400,https://measure-up.org/values/,,,Original evidence link,
SCC - Service Level (Optional),Cost of NHS Dentist (saving to NHS only) (Tackling Health Inequalities: Physically healthy incl. living independently),Per appointment,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct cost source,NHS England National Cost Collection includes community/general/emergency dental services with unit costs per contact or attendance.,UK source researched,
SCC - Service Level (Optional),Carbon emission reductions through reduced energy use and energy efficiency measures - on site (TOMS/Environment) (Enabling a Greener Future: A zero-carbon SCC/Surrey),tonnes,264,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct,DESNZ Green Book supplementary guidance provides central £/tCO2e carbon values for policy appraisal.,UK source researched,
SCC - Service Level (Optional),No. of full time equivalent direct local employees (FTE) hired or retained for the duration of the contract (TOMS/Jobs),People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service Level (Optional),No. of full time equivalent employees (FTE) hired on the contract who are long term unemployed (unemployed for a year or longer) (TOMs/Jobs),People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service Level (Optional),"Number of weeks of apprenticeships or T-Levels (Level 2,3, or 4) provided on the contract (completed or supported by the organisation)",Number of weeks,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service Level (Optional),Reduced waste through reuse of products and materials (TOMS/Environment),Tonnes,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,UK TOMs procurement documentation contains waste/plastic measures and units.,UK source researched,
SCC - Service Level (Optional),Savings in CO2e emissions on contract achieved through de-carbonisation against a specific benchmark (TOMS/Environment),tonnes,264,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct,DESNZ Green Book supplementary guidance provides central £/tCO2e carbon values for policy appraisal.,UK source researched,
SCC - Service Level (Optional),Total amount spent plus added value through contract with VCSEs in supply chain (TOMS/Growth),£,,https://www.gov.uk/government/statistics/community-life-survey-202425-annual-publication,Supporting,UK public evidence relevant to the social/community outcome; no exact monetary proxy has been inferred.,UK source researched,
SCC - Service Level (Optional),Total volume of reduced virgin plastics against a relevant benchmark (TOMS/Environment),KGs avoided,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service Level (Optional),Volunteering - staff time for environmental conservation & sustainable ecosystem management initiatives (TOMS/Environment),Number of staff volunteering hours,16.93 per staff volunteering hour,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service Level (Optional),Car miles saved on the project as a result of a green transport programme or equivalent (TOMS/Environment),miles,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - Service level,"Average gross weekly expenditure on supporting older adults (65+) with a memory or cognition support need in residential care, England",Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service level,"Average gross weekly expenditure on supporting older adults (65+) with a learning disability in residential care, England",Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Average gross weekly expenditure for supporting older adults (65+) with a sensory support need in residential care,Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Average gross weekly expenditure for older person (65+) needing mental health support in residential care,Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Cost of Social Worker (Adult Services),Per hour,47,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Cost of Teacher,Per hour,51048 annual median salary,https://explore-education-statistics.service.gov.uk/find-statistics/school-workforce-in-england/2025,Direct pay benchmark,DfE School Workforce statistics provide current median teacher pay; conversion to an hourly cost requires an agreed hours/on-cost methodology.,UK source researched,
SCC - Service Level,Cost of Nurse,Per hour,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Average gross weekly expenditure on nursing care for older people,Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Cost of a Mental Health Nurse,Per hour,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - Service Level,Average gross weekly expenditure on nursing care for older people 65+,Per person per week,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System Level (Optional),No. of full time equivalent disabled employees (FTE) hired on the contract,People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),No. of full time equivalent employees (FTE) hired on the contract who are long term unemployed (unemployed for a year or longer),People FTE,,https://www.contractsfinder.service.gov.uk/Notice/Attachment/1564eeec-8c23-4ef6-b65b-c6745926b127,Direct measure definition,"UK public procurement TOMs documentation contains the corresponding NT measure definition, units and (where applicable) proxy methodology.",UK source researched,
SCC - System Level (Optional),Carbon emission reductions through reduced energy use and energy efficiency measures - on site,tonnes,264,https://www.gov.uk/government/publications/valuing-greenhouse-gas-emissions-in-policy-appraisal/valuation-of-greenhouse-gas-emissions-for-policy-appraisal-and-evaluation,Direct,DESNZ Green Book supplementary guidance provides central £/tCO2e carbon values for policy appraisal.,UK source researched,
SCC - System level,Cost of Hospital Day Case (Tackling Health Inequalities: Physically Healthy incl. living independently),Per day case,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,Hospital Day Case (Tackling Health Inequalities: Physically Healthy incl. living independently),Per day case,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
SCC - System level,Hospital Inpatient Admission (Tackling Health Inequalities: Physically Healthy incl. living independently),Per admission,3030,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,,,Original evidence link,
